0	0.666
0.01	1.833
0.02	2.279
0.03	2.905
0.04	5.828
0.05	10.296
0.06	11.122
0.07	5.447
0.08	-2.509
0.09	-5.317
0.1	-2.138
0.11	2.102
0.12	4.654
0.13	6.415
0.14	7.381
0.15	6.637
0.16	4.926
0.17	4.536
0.18	5.262
0.19	5.074
0.2	3.392
0.21	2.333
0.22	2.743
0.23	3.417
0.24	3.293
0.25	2.903
0.26	2.609
0.27	2.469
0.28	2.695
0.29	3.67
0.3	4.961
0.31	6.492
0.32	8.461
0.33	10.799
0.34	11.906
0.35	10.98
0.36	9.004
0.37	7.457
0.38	6.594
0.39	6.517
0.4	7.238
0.41	7.404
0.42	5.549
0.43	3.148
0.44	3.173
0.45	5.303
0.46	6.171
0.47	5.063
0.48	4.564
0.49	5.699
0.5	6.579
0.51	6.28
0.52	5.978
0.53	6.233
0.54	6.356
0.55	5.928
0.56	4.916
0.57	2.618
0.58	-0.702
0.59	-3.174
0.6	-3.774
0.61	-3.886
0.62	-4.484
0.63	-4.835
0.64	-4.464
0.65	-4.095
0.66	-3.507
0.67	-2
0.68	-0.414
0.69	-0.266
0.7	-0.596
0.71	0.637
0.72	2.441
0.73	2.069
0.74	-0.367
0.75	-1.736
0.76	-1.103
0.77	-0.276
0.78	-0.026
0.79	1.005
0.8	2.885
0.81	3.644
0.82	2.904
0.83	2.498
0.84	3.116
0.85	3.143
0.86	2.17
0.87	2.217
0.88	4.19
0.89	5.979
0.9	5.341
0.91	2.637
0.92	-0.511
0.93	-2.754
0.94	-3.297
0.95	-2.644
0.96	-2.576
0.97	-3.645
0.98	-3.753
0.99	-1.685
1	0.525
1.01	0.414
1.02	-1.133
1.03	-2.9
1.04	-5.403
1.05	-8.608
1.06	-9.739
1.07	-7.926
1.08	-5.132
1.09	-2.076
1.1	3.422
1.11	11.162
1.12	17.245
1.13	19.816
1.14	21.276
1.15	23.065
1.16	22.444
1.17	17.742
1.18	10.872
1.19	4.003
1.2	-3.056
1.21	-10.102
1.22	-15.971
1.23	-20.231
1.24	-24.147
1.25	-28.687
1.26	-34.174
1.27	-39.858
1.28	-43.647
1.29	-42.837
1.3	-37.397
1.31	-29.516
1.32	-20.378
1.33	-10.38
1.34	-2.545
1.35	-0.718
1.36	-3.736
1.37	-6.13
1.38	-5.447
1.39	-3.53
1.4	-1.247
1.41	2.864
1.42	7.682
1.43	10.062
1.44	10.069
1.45	11.56
1.46	15.982
1.47	20.704
1.48	22.513
1.49	20.348
1.5	14.263
1.51	5.289
1.52	-5.606
1.53	-17.961
1.54	-30.877
1.55	-40.944
1.56	-45.301
1.57	-45.704
1.58	-46.258
1.59	-46.56
1.6	-42.382
1.61	-31.921
1.62	-18.17
1.63	-4.868
1.64	5.448
1.65	11.145
1.66	11.035
1.67	5.86
1.68	-2.862
1.69	-13.126
1.7	-22.642
1.71	-30.043
1.72	-37.946
1.73	-48.973
1.74	-60.653
1.75	-67.225
1.76	-67.346
1.77	-64.35
1.78	-60.114
1.79	-52.467
1.8	-39.792
1.81	-24.029
1.82	-7.791
1.83	7.391
1.84	19.019
1.85	24.278
1.86	23.3
1.87	18.591
1.88	11.354
1.89	1.919
1.9	-8.691
1.91	-19.516
1.92	-30.275
1.93	-38.584
1.94	-40.135
1.95	-34.778
1.96	-28.669
1.97	-25.913
1.98	-22.89
1.99	-15.674
2	-8.581
2.01	-7.597
2.02	-10.345
2.03	-8.582
2.04	0.385
2.05	11.681
2.06	19.36
2.07	20.879
2.08	16.713
2.09	9.571
2.1	2.595
2.11	-3.594
2.12	-11.379
2.13	-22.347
2.14	-35.16
2.15	-46.045
2.16	-51.475
2.17	-49.338
2.18	-41.292
2.19	-31.225
2.2	-21.829
2.21	-12.671
2.22	-2.993
2.23	7.243
2.24	18.327
2.25	30.223
2.26	40.836
2.27	48.002
2.28	52.099
2.29	54.172
2.3	53.729
2.31	50.346
2.32	45.276
2.33	39.255
2.34	32.907
2.35	28.419
2.36	27.584
2.37	26.717
2.38	20.383
2.39	9.193
2.4	-1.523
2.41	-11.104
2.42	-22.067
2.43	-30.861
2.44	-28.789
2.45	-14.84
2.46	1.191
2.47	10.231
2.48	12.549
2.49	11.548
2.5	5.576
2.51	-8.909
2.52	-30.043
2.53	-50.374
2.54	-62.924
2.55	-64.999
2.56	-57.471
2.57	-43.107
2.58	-25.53
2.59	-8.074
2.6	7.372
2.61	18.772
2.62	23.079
2.63	18.886
2.64	9.816
2.65	2.369
2.66	0.928
2.67	6.338
2.68	18.433
2.69	36.491
2.7	57.529
2.71	77.625
2.72	94.346
2.73	105.91
2.74	109.04
2.75	102
2.76	88.38
2.77	75.718
2.78	69.018
2.79	67.601
2.8	68.002
2.81	69.203
2.82	73.509
2.83	82.358
2.84	92.637
2.85	99.006
2.86	99.954
2.87	99.057
2.88	99.027
2.89	97.321
2.9	90.314
2.91	78.772
2.92	65.998
2.93	52.693
2.94	36.192
2.95	15.073
2.96	-8.944
2.97	-33.827
2.98	-59.932
2.99	-85.679
3	-103.39
3.01	-103.98
3.02	-86.719
3.03	-60.291
3.04	-32.966
3.05	-7.695
3.06	14.04
3.07	29.704
3.08	40.841
3.09	52.197
3.1	65.463
3.11	78.073
3.12	89.581
3.13	101.22
3.14	110.56
3.15	113.81
3.16	113.97
3.17	117.84
3.18	125.19
3.19	130.19
3.2	132.17
3.21	135.62
3.22	140.43
3.23	142.37
3.24	140.9
3.25	139.89
3.26	140.77
3.27	142.8
3.28	146.92
3.29	154.46
3.3	162.18
3.31	165.25
3.32	161.41
3.33	149.33
3.34	126.77
3.35	94.221
3.36	57.321
3.37	22.112
3.38	-10.049
3.39	-41.834
3.4	-76.485
3.41	-115.36
3.42	-156.48
3.43	-195.19
3.44	-229.21
3.45	-260.29
3.46	-289.19
3.47	-309.7
3.48	-313.19
3.49	-298.03
3.5	-271.88
3.51	-241.15
3.52	-202.6
3.53	-148.48
3.54	-79.617
3.55	-8.536
3.56	50.738
3.57	92.787
3.58	117.72
3.59	123.99
3.6	109.56
3.61	77.402
3.62	34.323
3.63	-14.641
3.64	-66.922
3.65	-118.69
3.66	-163.48
3.67	-197.32
3.68	-221.29
3.69	-238.62
3.7	-249.86
3.71	-254.1
3.72	-251.61
3.73	-243.94
3.74	-231.45
3.75	-214.57
3.76	-195.57
3.77	-175.74
3.78	-150.29
3.79	-111.3
3.8	-56.163
3.81	9.454
3.82	76.923
3.83	138.33
3.84	187.32
3.85	220.52
3.86	239.68
3.87	248.43
3.88	248.75
3.89	240.86
3.9	224.94
3.91	200.24
3.92	166.44
3.93	126.74
3.94	86.446
3.95	46.699
3.96	4.849
3.97	-37.671
3.98	-73.196
3.99	-96.76
4	-111.49
4.01	-121.99
4.02	-126.76
4.03	-122.17
4.04	-110.81
4.05	-100.58
4.06	-95.615
4.07	-92.303
4.08	-85.616
4.09	-74.807
4.1	-60.828
4.11	-41.641
4.12	-14.043
4.13	20.591
4.14	56.618
4.15	90.137
4.16	123.07
4.17	158.08
4.18	193.23
4.19	221.93
4.2	237.26
4.21	234.14
4.22	211.54
4.23	174.3
4.24	132.13
4.25	93.266
4.26	59.068
4.27	26.529
4.28	-4.578
4.29	-31.281
4.3	-53.229
4.31	-73.565
4.32	-94.356
4.33	-114.65
4.34	-132.94
4.35	-147.11
4.36	-153.9
4.37	-152.22
4.38	-146.85
4.39	-143.97
4.4	-143.9
4.41	-142.01
4.42	-135.37
4.43	-124.11
4.44	-109.03
4.45	-92.989
4.46	-81.12
4.47	-76.039
4.48	-75.021
4.49	-75.631
4.5	-78.592
4.51	-83.736
4.52	-87.615
4.53	-89.474
4.54	-93.055
4.55	-100.54
4.56	-110.16
4.57	-121.14
4.58	-134.44
4.59	-147.5
4.6	-155.14
4.61	-156.68
4.62	-156.02
4.63	-154.04
4.64	-147.39
4.65	-135.68
4.66	-122.61
4.67	-110.22
4.68	-97.006
4.69	-82.063
4.7	-65.721
4.71	-47.131
4.72	-25.377
4.73	-2.223
4.74	19.618
4.75	39.914
4.76	59.079
4.77	75.238
4.78	85.771
4.79	91.312
4.8	93.37
4.81	90.591
4.82	79.9
4.83	61.913
4.84	40.448
4.85	18.506
4.86	-3.251
4.87	-23.016
4.88	-36.86
4.89	-42.603
4.9	-42.137
4.91	-38.359
4.92	-31.924
4.93	-24.565
4.94	-20.472
4.95	-21.365
4.96	-21.661
4.97	-14.459
4.98	0.558
4.99	19.055
5	39.398
5.01	62.481
5.02	85.657
5.03	104.14
5.04	116.83
5.05	125.43
5.06	129.6
5.07	128.43
5.08	125.28
5.09	125.05
5.1	128.78
5.11	134.52
5.12	142.63
5.13	153.89
5.14	165.5
5.15	173.79
5.16	179.3
5.17	184.42
5.18	188.72
5.19	190.37
5.2	189.24
5.21	185.84
5.22	179.03
5.23	168.05
5.24	153.49
5.25	135.26
5.26	111.52
5.27	81.842
5.28	48.484
5.29	13.798
5.3	-21.264
5.31	-55.143
5.32	-84.441
5.33	-106.07
5.34	-118.39
5.35	-120.79
5.36	-113.77
5.37	-98.858
5.38	-77.466
5.39	-51.666
5.4	-25.451
5.41	-3.195
5.42	13.69
5.43	26.121
5.44	34.789
5.45	40.55
5.46	46.986
5.47	57.928
5.48	72.377
5.49	86.231
5.5	98.55
5.51	111.65
5.52	124.61
5.53	133.19
5.54	135.97
5.55	135.99
5.56	134.53
5.57	128.96
5.58	117.16
5.59	100.25
5.6	79.025
5.61	53.235
5.62	24.71
5.63	-2.785
5.64	-28.135
5.65	-52.182
5.66	-73.575
5.67	-89.76
5.68	-102.05
5.69	-113.36
5.7	-121.83
5.71	-122.78
5.72	-116.45
5.73	-106.63
5.74	-94.147
5.75	-78.123
5.76	-62.032
5.77	-50.854
5.78	-43.716
5.79	-35.815
5.8	-26.393
5.81	-17.474
5.82	-6.641
5.83	10.678
5.84	32.461
5.85	51.143
5.86	62.995
5.87	70.725
5.88	76.683
5.89	79.177
5.9	76.71
5.91	71.087
5.92	65.171
5.93	60.094
5.94	56.081
5.95	53.311
5.96	52.341
5.97	52.915
5.98	53.959
5.99	53.263
6	49.006
6.01	40.84
6.02	30.811
6.03	21.3
6.04	13.307
6.05	6.148
6.06	-0.887
6.07	-7.5
6.08	-12.878
6.09	-17.212
6.1	-21.587
6.11	-25.94
6.12	-29.323
6.13	-32.668
6.14	-38.722
6.15	-47.493
6.16	-55.531
6.17	-60.824
6.18	-64.878
6.19	-68.155
6.2	-67.673
6.21	-61.642
6.22	-52.255
6.23	-41.898
6.24	-30.415
6.25	-18.382
6.26	-7.995
6.27	0.269
6.28	8.496
6.29	17.225
6.3	25.419
6.31	33.369
6.32	42.747
6.33	52.722
6.34	60.877
6.35	66.398
6.36	70.54
6.37	73.859
6.38	75.792
6.39	75.073
6.4	69.733
6.41	57.662
6.42	39.279
6.43	17.752
6.44	-3.707
6.45	-24.229
6.46	-43.859
6.47	-61.416
6.48	-74.28
6.49	-80.837
6.5	-81.835
6.51	-78.528
6.52	-70.329
6.53	-56.402
6.54	-38.843
6.55	-21.519
6.56	-6.878
6.57	3.602
6.58	7.368
6.59	3.072
6.6	-6.686
6.61	-17.646
6.62	-27.781
6.63	-36.687
6.64	-43.12
6.65	-45.707
6.66	-44.687
6.67	-40.708
6.68	-34.046
6.69	-26.185
6.7	-20.033
6.71	-17.621
6.72	-19.585
6.73	-25.821
6.74	-35.218
6.75	-45.811
6.76	-56.622
6.77	-67.852
6.78	-79.193
6.79	-89.351
6.8	-97.859
6.81	-104.43
6.82	-107.86
6.83	-107.32
6.84	-105.09
6.85	-103.61
6.86	-102.45
6.87	-99.743
6.88	-96.354
6.89	-94.309
6.9	-93.878
6.91	-93.289
6.92	-91.5
6.93	-88.347
6.94	-83.883
6.95	-77.507
6.96	-69.112
6.97	-58.289
6.98	-45.506
6.99	-31.83
7	-19.503
7.01	-9.339
7.02	-1.216
7.03	6.384
7.04	14.222
7.05	22.05
7.06	29.108
7.07	35.87
7.08	42.977
7.09	49.409
7.1	53.346
7.11	54.105
7.12	51.912
7.13	45.437
7.14	33.036
7.15	15.441
7.16	-4.057
7.17	-22.959
7.18	-40.386
7.19	-56.078
7.2	-69.183
7.21	-78.901
7.22	-84.251
7.23	-83.875
7.24	-76.715
7.25	-63.464
7.26	-46.411
7.27	-28.132
7.28	-10.287
7.29	6.169
7.3	20.193
7.31	30.838
7.32	38.209
7.33	43.032
7.34	45.296
7.35	44.613
7.36	41.826
7.37	38.652
7.38	35.784
7.39	32.768
7.4	29.791
7.41	27.479
7.42	26.308
7.43	27.178
7.44	31.478
7.45	38.6
7.46	46.062
7.47	52.32
7.48	57.634
7.49	61.276
7.5	61.762
7.51	59.245
7.52	55.467
7.53	50.3
7.54	42.91
7.55	34.989
7.56	30.15
7.57	28.928
7.58	29.163
7.59	30.177
7.6	34.098
7.61	42.379
7.62	54.051
7.63	66.895
7.64	79.468
7.65	91.218
7.66	101.6
7.67	109.06
7.68	112.47
7.69	112.39
7.7	110
7.71	104.29
7.72	93.587
7.73	78.44
7.74	61.333
7.75	43.168
7.76	23.938
7.77	4.587
7.78	-13.377
7.79	-30.196
7.8	-46.121
7.81	-60.1
7.82	-71.615
7.83	-81.745
7.84	-90.485
7.85	-95.853
7.86	-97.943
7.87	-99.118
7.88	-99.086
7.89	-94.114
7.9	-84.013
7.91	-73.722
7.92	-66.829
7.93	-61.426
7.94	-54.651
7.95	-46.645
7.96	-38.505
7.97	-29.897
7.98	-21.618
7.99	-16.414
8	-15.1
8.01	-15.053
8.02	-13.733
8.03	-11.199
8.04	-7.934
8.05	-2.808
8.06	5.999
8.07	17.881
8.08	30.468
8.09	42.237
8.1	53.784
8.11	65.569
8.12	76.504
8.13	84.981
8.14	91.271
8.15	96.216
8.16	98.444
8.17	95.861
8.18	89.724
8.19	82.71
8.2	74.901
8.21	64.769
8.22	53.697
8.23	44.423
8.24	37.399
8.25	31.518
8.26	28.067
8.27	28.45
8.28	31.345
8.29	35.008
8.3	39.983
8.31	45.11
8.32	45.883
8.33	39.924
8.34	29.997
8.35	18.298
8.36	3.331
8.37	-14.805
8.38	-32.475
8.39	-48.016
8.4	-62.899
8.41	-76.362
8.42	-85.014
8.43	-88.47
8.44	-89.824
8.45	-90.765
8.46	-90.613
8.47	-89.764
8.48	-88.883
8.49	-85.939
8.5	-79.403
8.51	-71.623
8.52	-65.312
8.53	-58.485
8.54	-49.201
8.55	-39.892
8.56	-33.907
8.57	-29.439
8.58	-23.666
8.59	-18.294
8.6	-16.65
8.61	-16.928
8.62	-15.095
8.63	-12.559
8.64	-14.392
8.65	-20.633
8.66	-25.947
8.67	-28.042
8.68	-29.613
8.69	-32.214
8.7	-33.536
8.71	-32.222
8.72	-29.681
8.73	-26.987
8.74	-23.409
8.75	-19.317
8.76	-16.354
8.77	-15.178
8.78	-15.065
8.79	-15.315
8.8	-15.332
8.81	-14.463
8.82	-13.583
8.83	-13.491
8.84	-12.989
8.85	-10.401
8.86	-7.589
8.87	-6.199
8.88	-3.63
8.89	3.928
8.9	15.413
8.91	27.412
8.92	39.964
8.93	55.29
8.94	71.89
8.95	86.17
8.96	97.668
8.97	108.15
8.98	117.05
8.99	123.13
9	126.74
9.01	127.9
9.02	125.4
9.03	119.87
9.04	114.39
9.05	109.65
9.06	103.09
9.07	94.343
9.08	87.388
9.09	84.122
9.1	81.999
9.11	79.63
9.12	79.177
9.13	80.215
9.14	77.943
9.15	70.345
9.16	61.517
9.17	54.402
9.18	46.051
9.19	34.357
9.2	23.714
9.21	18.875
9.22	18.601
9.23	19.554
9.24	22.19
9.25	27.123
9.26	30.603
9.27	27.882
9.28	19.125
9.29	7.327
9.3	-6.601
9.31	-22.754
9.32	-39.294
9.33	-54.297
9.34	-68.176
